a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04951773449273273,0.19888746402761087,0.00024306163495868693,4.5930911975949,4.6,0.0,20900157.867926825,6134642.331609502,0.0010716023855913087,8.854370486931786e-06,38.966063205557965,51497.28510725312,0.0,947.2103831183051,4020155194.658711,20.220779104679476,0.03195736055265627,20.260400673814956,20.215780469068733,20.186156171152973,59.86,5.227042778546149,1.5342485975960627
-0.0,0.049805977315116934,0.22735807155433185,0.00023495564701913216,4.793276599298532,4.8,0.0,22922986.89166298,5218982.94569446,0.0010202638575635456,8.848805358288187e-06,40.92679161241083,53775.542951147705,0.0,947.1850546750074,4383729610.6322155,20.25272348698977,0.03945009607035571,20.29978748383108,20.236262080129343,20.222120897008274,59.86,5.725586570336761,1.303570900507416
-0.0,0.04984389327868854,0.2569178848074455,0.00022770853142725363,4.991338009352124,5.0,0.0,24926746.48066333,5934776.689480344,0.0009780252367746422,8.839693002176994e-06,42.69432394800169,56055.309369422066,0.0,947.1435332286321,4763296968.584867,20.30508895553492,0.03751695294570047,20.345823774517935,20.266133176423963,20.303309915658392,59.87,6.212986615923499,1.479241912651526
-0.0,0.05000012324971028,0.2900508009079259,0.0002207420271304619,5.191870509607205,5.2,0.0,27108367.936082516,6222686.645680963,0.0009363788920704948,8.830895080534754e-06,44.59319474390079,58365.482823982085,0.0,947.1033871735391,5164000980.282076,20.35571791304877,0.041113112693639375,20.405050320847288,20.318821409064952,20.343282009230453,59.84,6.7430265454036755,1.5478519892636304
-0.0,0.05005992877273974,0.32538253991400673,0.00021426130026158395,5.3925087689994,5.4,0.0,29362060.553681977,7034754.731625479,0.0008991879117203489,8.818398688476941e-06,46.4375974631251,60706.904098780666,0.0,947.0462673816942,5586635309.691983,20.427749545665186,0.04110955549053682,20.46688004062357,20.38843850039457,20.42793009597603,59.86,7.282522655738073,1.7447944641677613
-0.0,0.050175339978096443,0.36337174855492654,0.00020816295219682173,5.590403206948384,5.6,0.0,31736621.26983336,7941221.821008831,0.0008638997173785652,8.803491938834114e-06,48.33445994736897,63041.29368839986,0.0,946.9779804791148,6024546831.034128,20.513858651436628,0.052129361925260145,20.57501186612859,20.464390599766677,20.502173488415806,59.86,7.844317613635566,1.9628260259556587
-0.0,0.05007426008819619,0.4033734818235421,0.00020253248441893,5.792336562552286,5.8,0.0,34121288.57931897,12045600.95881365,0.0008340053876788768,8.788107649047479e-06,50.06697427265937,65432.78051567731,0.0,946.907334672519,6490301954.304827,20.602936668581915,0.056217040662620246,20.667956830811722,20.545984413767787,20.59486876116665,59.86,8.403656623775854,2.966684392636027
-0.0,0.0496217140002816,0.44182419893908276,0.00019766176519718759,5.988923513694155,6.0,0.0,36299715.31855949,15456397.012741689,0.0008122717483170857,8.76960553551448e-06,51.406596837438364,67796.24852906847,0.0,946.8221400726097,6967636364.281657,20.710351824626287,0.05522095304536736,20.765614154112207,20.65536100248108,20.710080317286117,59.87,8.901770627269771,3.7903685944638115
-0.0,0.04906315336722217,0.4823921920348749,0.00019303764101822517,6.190196825396833,6.2,0.0,38519404.5664257,14231434.760094784,0.0007929966033320547,8.749624708434031e-06,52.65612250131281,70234.74144318339,0.0,946.7298512921703,7477873720.581529,20.826702187630108,0.06756148058891602,20.89584929075689,20.761801166783965,20.82245610534846,59.84,9.402192644419289,3.473747653345731
-0.0,0.04856039980219376,0.525239283889739,0.0001885757679029789,6.390200768331281,6.4,0.0,40857470.46224544,11574837.158482162,0.0007739483415022477,8.725029687880633e-06,53.952084459704686,72708.39284430028,0.0,946.6158410299017,8013887492.487698,20.97042405058821,0.07086298629517215,21.04334796599079,20.897542454806313,20.97038173096977,59.86,9.91570797614717,2.809099629430618
