a,cf,epsilon,eta,fic,ficfn,foc,g,grei,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.02767283720625039,0.24621354786946748,9.980466346824898e-05,5.98745515283123,6.0,0.0,184822747.10443598,0.05083490075148192,61467132.617843926,0.0004820413386257118,2.901605917035914e-06,86.62353815385075,204852.27933954616,0.0,985.585274306949,63614446405.56347,19.81914458626044,0.036728749494571646,19.867350798277133,19.78715544387818,19.802927516628493,59.86,5.165009701151519,1.7177449272179435
-0.0,0.027992599215840207,0.2749392171996412,9.701808608956493e-05,6.188052781025563,6.2,0.0,200084579.2001016,0.05177241024438885,80375854.1190984,0.0004606386940300012,2.8987838593176866e-06,90.6483255300695,211921.5541314985,0.0,985.5692069133162,68080762531.00343,19.864839101019612,0.04330275444488439,19.91824207594864,19.822344663938654,19.853930563170948,59.86,5.5805508678327165,2.2417596810824185
-0.0,0.0280811980549641,0.3034984382359914,9.457795957110561e-05,6.388562238930597,6.4,0.0,214373839.96211135,0.05227925216376194,85326522.98659551,0.0004443192491798343,2.8958234051316907e-06,93.9777566811588,219012.05062980863,0.0,985.552309213677,72712683706.34149,19.91284336492572,0.04374625948596319,19.96440271542464,19.867272986904506,19.906854392449173,59.84,5.966783403212752,2.3749394109852804
-0.0,0.02807931137660979,0.33289349035794713,9.232328634951183e-05,6.588640387506231,6.6,0.0,228615262.48024824,0.05261340972807679,84777225.93130007,0.00043027191719140554,2.891901132120091e-06,97.04590195135256,226177.4576844458,0.0,985.5298546510311,77548390262.07732,19.976552550054983,0.04539148916291615,20.02560729380153,19.932180696453383,19.97186965991275,59.86,6.345802424301866,2.3532091427487702
-0.0,0.02795315047867026,0.36254231006899534,9.027603819952158e-05,6.7888909485638536,6.8,0.0,242339027.27621108,0.05270698096387097,64378107.76161654,0.0004188531414722585,2.887683256628221e-06,99.69156764923828,233392.14376853392,0.0,985.5056222951437,82574626356.6049,20.045202081056207,0.049170039444215524,20.105213777253425,19.995323345073697,20.035069120843286,59.87,6.706967998239105,1.7817266719166058
-0.0,0.027819104919334935,0.39332979625113884,8.834355623852684e-05,6.987053774215169,7.0,0.0,256323128.0222423,0.05277469536833012,55779800.238236554,0.0004082473412973496,2.8828283606592823e-06,102.28144084290383,240609.214400959,0.0,985.4776200014595,87760413572.09984,20.12439851678642,0.055024765563807934,20.191875672182146,20.067650311237003,20.113669566941912,59.87,7.069957289393157,1.5385299342203476
-0.0,0.02767442444068099,0.4257236495632789,8.65010675778425e-05,7.186309440267326,7.2,0.0,270671192.57363766,0.052814486275428084,44442707.28991366,0.0003983167058082744,2.877870288284809e-06,104.83147123705253,247897.2184165195,0.0,985.4489003720537,93157421316.26263,20.20547638362431,0.055137648873320684,20.266533294763597,20.150175834676126,20.199720021427822,59.84,7.439833813604657,1.2215794127174402
-0.0,0.027530844107884693,0.45973575124407734,8.472765147228964e-05,7.385599799565649,7.4,0.0,285548013.67949486,0.05284983154446432,36717063.1367623,0.00038881185934760883,2.8721226640877645e-06,107.394168372952,255281.73467801357,0.0,985.415451894495,98790147881.07445,20.29971752067436,0.05646981316434968,20.366992784100205,20.241589516539047,20.29057026138481,59.86,7.817162456958863,1.0051663248641889
-0.0,0.027364541242556037,0.49517714493523424,8.302528176701419e-05,7.586014364456286,7.6,0.0,300821024.53648156,0.052837017099075484,32831328.350778535,0.00037996243270235443,2.8655017280901703e-06,109.89540726750613,262814.87452455703,0.0,985.3767132031929,104706594231.45691,20.40861494889938,0.05980658639680823,20.482092901106437,20.3476412110616,20.39611073453056,59.86,8.197029313014943,0.8946161967609187
-0.0,0.027234857371342014,0.5329628674511059,8.137081002014516e-05,7.786580952380973,7.8,0.0,316906938.2279896,0.052886385693580215,30927713.71114604,0.0003710739028719379,2.858844298756226e-06,112.52779019220917,270391.6371592207,0.0,985.3375351164408,110830849399.09058,20.51847837368755,0.06664218394204827,20.58882531699294,20.446498486857166,20.520111317213303,59.84,8.59493187266018,0.8388001657862117
-0.0,0.02715330453562488,0.5731251751268732,7.976552285364868e-05,7.985432676244603,8.0,0.0,333866930.18545854,0.05301953082045553,33883952.408352606,0.0003620685404245901,2.8521352551258202e-06,115.32657943496308,277949.1120304839,0.0,985.2978226449327,117112899328.81984,20.629566751353565,0.06712736985478113,20.70660740384187,20.560698265551466,20.62139458466955,59.85,9.012096199944208,0.9146321816562614
-0.0,0.027159886420144736,0.6172163958357665,7.82375010545589e-05,8.184510101853327,8.2,0.0,351567844.21750915,0.05330576588376021,38191576.47003309,0.00035279326917564847,2.849043708200645e-06,118.35862511137684,285187.53040974285,0.0,985.2794446730214,123292090331.39008,20.680883291042036,0.032420125606024607,20.713051524494773,20.64677677858779,20.68282157004391,59.88,9.469159901281865,1.0286553518046837
-0.0,0.027041966516651368,0.6604621437670127,7.689049597650522e-05,8.383513612827784,8.4,0.0,367698683.2761609,0.05333616302745663,33462826.286959548,0.00034571933246983484,2.847385001111745e-06,120.78042031919344,292291.9375632966,0.0,985.2695638916547,129511347874.02048,20.708449199422535,0.041461488803502616,20.760072100429806,20.67270812148276,20.69256737635007,59.86,9.892001781351091,0.9002325879721392
-0.0,0.02692025805014913,0.705564989866508,7.551993542962912e-05,8.583059482038417,8.6,0.0,385184258.396671,0.053367427434558044,35143750.15078349,0.0003385438774977475,2.8418063974865208e-06,123.3403675671419,299836.562321441,0.0,985.2362274573013,136283516448.15355,20.801329409331583,0.06155883649846985,20.877564656248516,20.742111290742756,20.78431228100176,59.84,10.321493325578615,0.9417206822703658
-0.0,0.026814273701524862,0.7531547507674542,7.416231511114777e-05,8.783391645781084,8.8,0.0,403744253.0149269,0.05342914052567555,35490000.335294135,0.0003313238068446495,2.834908926841923e-06,126.02814957923073,307581.41598565597,0.0,985.1947846116706,143414919939.21112,20.91653149168966,0.06516383172649776,20.98415758099581,20.850119145407238,20.915317748667302,59.84,10.765924718948453,0.9463482613859135
-0.0,0.02674673620439514,0.8039896538192529,7.285768244305664e-05,8.984268915984694,9.0,0.0,422956537.4533845,0.05355640383501267,35726000.87104527,0.00032411980596352903,2.8295494618198427e-06,128.8292955873118,315211.7571803378,0.0,985.162409834147,150618725005.74533,21.006324666825815,0.039126166878433996,21.044057221448963,20.959565376389108,21.015351402641574,59.86,11.235251862416382,0.9490114994790403
