alpha,linear,taylor
0.0,8.904389816146542e-07,[  8.90438982e-07]
0.01,9.74966940828945e-07,[  9.11885415e-07]
0.02,1.059620776797996e-06,[  9.34048052e-07]
0.03,1.1444007440745128e-06,[  9.56957297e-07]
0.04,1.2293070978980184e-06,[  9.80645114e-07]
0.05,1.3143400941971717e-06,[  1.00514512e-06]
0.06,1.3994999895920944e-06,[  1.03049269e-06]
0.07,1.4847870413967084e-06,[  1.05672504e-06]
0.08,1.5702015076210809e-06,[  1.08388137e-06]
0.09,1.6557436469737823e-06,[  1.11200299e-06]
0.1,1.7414137188642495e-06,[  1.14113341e-06]
0.11,1.8272119834051617e-06,[  1.17131853e-06]
0.12,1.913138701414826e-06,[  1.20260674e-06]
0.13,1.9991941344195693e-06,[  1.23504913e-06]
0.14,2.0853785446561457e-06,[  1.26869963e-06]
0.15,2.1716921950741476e-06,[  1.30361520e-06]
0.16,2.258135349338432e-06,[  1.33985605e-06]
0.17,2.3447082718315515e-06,[  1.37748583e-06]
0.18,2.4314112276562e-06,[  1.41657187e-06]
0.19,2.518244482637665e-06,[  1.45718543e-06]
0.2,2.605208303326293e-06,[  1.49940197e-06]
0.21,2.6923029569999607e-06,[  1.54330143e-06]
0.22,2.7795287116665615e-06,[  1.58896855e-06]
0.23,2.8668858360664983e-06,[  1.63649319e-06]
0.24,2.9543745996751864e-06,[  1.68597073e-06]
0.25,3.0419952727055713e-06,[  1.73750242e-06]
0.26,3.1297481261106515e-06,[  1.79119581e-06]
0.27,3.217633431586013e-06,[  1.84716526e-06]
0.28,3.3056514615723787e-06,[  1.90553236e-06]
0.29,3.393802489258158e-06,[  1.96642656e-06]
0.3,3.482086788582021e-06,[  2.02998566e-06]
0.31,3.5705046342354722e-06,[  2.09635654e-06]
0.32,3.6590563016654363e-06,[  2.16569580e-06]
0.33,3.7477420670768614e-06,[  2.23817054e-06]
0.34,3.8365622074353254e-06,[  2.31395916e-06]
0.35,3.925517000469656e-06,[  2.39325229e-06]
0.36,4.014606724674565e-06,[  2.47625378e-06]
0.37,4.103831659313285e-06,[  2.56318174e-06]
0.38,4.193192084420225e-06,[  2.65426976e-06]
0.39,4.282688280803639e-06,[  2.74976817e-06]
0.4,4.372320530048287e-06,[  2.84994550e-06]
0.41,4.462089114518137e-06,[  2.95509001e-06]
0.42,4.551994317359055e-06,[  3.06551142e-06]
0.43,4.64203642250151e-06,[  3.18154283e-06]
0.44,4.7322157146633e-06,[  3.30354281e-06]
0.45,4.822532479352277e-06,[  3.43189771e-06]
0.46,4.912987002869094e-06,[  3.56702426e-06]
0.47,5.003579572309959e-06,[  3.70937241e-06]
0.48,5.094310475569392e-06,[  3.85942853e-06]
0.49,5.185180001343016e-06,[  4.01771898e-06]
0.5,5.27618843913033e-06,[  4.18481402e-06]
0.51,5.36733607923752e-06,[  4.36133234e-06]
0.52,5.458623212780269e-06,[  4.54794598e-06]
0.53,5.55005013168657e-06,[  4.74538599e-06]
0.54,5.641617128699581e-06,[  4.95444874e-06]
0.55,5.733324497380453e-06,[  5.17600310e-06]
0.56,5.8251725321112e-06,[  5.41099858e-06]
0.57,5.917161528097566e-06,[  5.66047454e-06]
0.58,6.009291781371911e-06,[  5.92557077e-06]
0.59,6.101563588796103e-06,[  6.20753957e-06]
0.6,6.1939772480644295e-06,[  6.50775959e-06]
0.61,6.286533057706512e-06,[  6.82775181e-06]
0.62,6.379231317090243e-06,[  7.16919804e-06]
0.63,6.472072326424728e-06,[  7.53396235e-06]
0.64,6.565056386763242e-06,[  7.92411611e-06]
0.65,6.6581838000062e-06,[  8.34196722e-06]
0.66,6.751454868904136e-06,[  8.79009455e-06]
0.67,6.844869897060707e-06,[  9.27138861e-06]
0.68,6.938429188935682e-06,[  9.78909976e-06]
0.69,7.03213304984798e-06,[  1.03468958e-05]
0.7,7.125981785978694e-06,[  1.09489311e-05]
0.71,7.219975704374137e-06,[  1.09129074e-05]
0.72,7.314115112948901e-06,[  1.08772025e-05]
0.73,7.408400320488928e-06,[  1.08418173e-05]
0.74,7.502831636654595e-06,[  1.08067527e-05]
0.75,7.597409371983812e-06,[  1.07720094e-05]
0.76,7.692133837895133e-06,[  1.07375884e-05]
0.77,7.787005346690875e-06,[  1.07034903e-05]
0.78,7.882024211560266e-06,[  1.06697162e-05]
0.79,7.97719074658258e-06,[  1.06362668e-05]
0.8,8.072505266730317e-06,[  1.06031430e-05]
0.81,8.167968087872375e-06,[  1.05703456e-05]
0.82,8.26357952677723e-06,[  1.05378755e-05]
0.83,8.35933990111616e-06,[  1.05057335e-05]
0.84,8.455249529466449e-06,[  1.04739205e-05]
0.85,8.551308731314627e-06,[  1.04424374e-05]
0.86,8.647517827059715e-06,[  1.04112850e-05]
0.87,8.743877138016475e-06,[  1.03804641e-05]
0.88,8.840386986418701e-06,[  1.03499757e-05]
0.89,8.937047695422496e-06,[  1.03198207e-05]
0.9,9.033859589109573e-06,[  1.02899998e-05]
0.91,9.13082299249058e-06,[  1.02605140e-05]
0.92,9.227938231508429e-06,[  1.02313641e-05]
0.93,9.325205633041625e-06,[  1.02025511e-05]
0.94,9.422625524907651e-06,[  1.01740758e-05]
0.95,9.520198235866323e-06,[  1.01459390e-05]
0.96,9.617924095623188e-06,[  1.01181418e-05]
0.97,9.715803434832923e-06,[  1.00906850e-05]
0.98,9.81383658510275e-06,[  1.00635694e-05]
0.99,9.912023878995875e-06,[  1.00367960e-05]
