a,cf,epsilon,eta,fic,ficfn,foc,g,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.027071690787715774,0.24100164319090125,6.012703275018433e-05,5.988587439452204,6.0,0.0,708694102.3470403,217225965.00194752,0.0002488867282468974,1.4658843130757027e-06,167.77160671562712,405566.1060972506,0.0,995.0335822156688,249343158820.12323,20.090558447862517,0.048997650214487855,20.155029018205724,20.047514686164142,20.069131639220814,59.86,5.103176740707745,1.564204483153566
-0.0,0.027086542393477665,0.26620728935339794,5.859547445252875e-05,6.189349089694306,6.2,0.0,759311668.4530579,292979243.01332283,0.00024038203983972218,1.4640595705572835e-06,173.70734650566683,419684.74718266,0.0,995.0202721593188,267005693640.02927,20.145085303735893,0.045330456285606745,20.20109085884241,20.100451067361654,20.133713985002583,59.86,5.453987731454379,2.104412803534101
-0.0,0.02711439543928789,0.29313602275268064,5.715097552296066e-05,6.3891920507681625,6.4,0.0,811851625.8785181,339150565.8689592,0.00023235420865187753,1.462360993008807e-06,179.708930302779,433738.8301513012,0.0,995.0078335228783,285187678879.99054,20.19593389599534,0.04819511684988391,20.258696257551886,20.151542466475792,20.177562963955072,59.87,5.817776205466218,2.4303727790748804
-0.0,0.027058433697648016,0.3209136269701029,5.580649719859634e-05,6.589483213629528,6.6,0.0,864466027.9574639,299240930.2465091,0.0002254050004240221,1.4600769281590795e-06,185.2493343520677,448035.65094298037,0.0,994.9910328159309,304298139296.4488,20.264449621790042,0.052104081653826205,20.33122986801247,20.21512744327682,20.246991554086424,59.86,6.175373538253081,2.1376485164752466
-0.0,0.026883006232319897,0.3486812446190601,5.459946427937817e-05,6.789009854685166,6.8,0.0,914386932.2137915,257315058.96276727,0.0002198795890984971,1.4578987754618068e-06,189.90451300812916,462291.62233896775,0.0,994.9749311421947,323971045466.15686,20.329938388203512,0.05547658877220711,20.39955850657629,20.27867358193112,20.31158307610178,59.86,6.512407230931426,1.8326382317818026
-0.0,0.026714572320088892,0.37768815444991793,5.344700994018275e-05,6.98690063460256,7.0,0.0,965887892.4142174,204638370.330276,0.00021461069672234085,1.455265856039756e-06,194.56684557620582,476627.59447025467,0.0,994.9553628626595,344375713183.96765,20.40929671753646,0.057411074380355316,20.480312469114867,20.35459804244017,20.392979641059544,59.87,6.854245525544685,1.4521785035374786
-0.0,0.026530523185710874,0.4081375401349683,5.23519519284239e-05,7.186373141807221,7.2,0.0,1018358466.420366,169849862.6200612,0.0002097324316275332,1.4527114270326994e-06,199.0923671849327,491097.09614809055,0.0,994.9362677238352,365602269745.67236,20.48649567669493,0.06340944445035393,20.569523643565045,20.42500641542454,20.464956971095027,59.86,7.20110766251757,1.2010575720848369
-0.0,0.026355220462269832,0.4403008028886985,5.129249316690387e-05,7.386700016702787,7.4,0.0,1073046338.5556113,147063761.92329073,0.0002049964183554531,1.4498449877133209e-06,203.6919797094927,505784.8841962837,0.0,994.9147102282001,387798248146.87354,20.573367265527278,0.06437781246704072,20.64784991648902,20.505659688765455,20.566592191328052,59.86,7.557743181933229,1.0358081511012003
-0.0,0.026203387261893085,0.47432064548705416,5.026625876728358e-05,7.586842210719648,7.6,0.0,1130285254.7653122,142114910.58386916,0.00020031620771947817,1.446747563462419e-06,208.45106226577883,520601.29909376916,0.0,994.8912601064435,410851281518.5196,20.66752972819222,0.06399284131495675,20.740365749632577,20.596141373445423,20.666082061494954,59.88,7.926726157671304,0.9966563523419417
-0.0,0.02605027231652888,0.5095093724329537,4.929302718546149e-05,7.785194922331694,7.8,0.0,1188454428.779892,133543244.62714598,0.00019592571394489903,1.4435484971793684e-06,213.1222362161246,535395.9320609097,0.0,994.8668698303426,434534522053.8909,20.765100657838442,0.06689917998121891,20.839181421967748,20.690446871281694,20.76567368026705,59.86,8.297646290704378,0.9323829181794336
-0.0,0.025950401405432796,0.5477538555790556,4.83074983595838e-05,7.985521964255912,8.0,0.0,1252609351.787624,142409118.9381242,0.00019120928327606988,1.4395095313595082e-06,218.37917894336604,550713.495319248,0.0,994.8358265123081,459754076921.0008,20.88875348048089,0.11075060557618913,21.01279148202345,20.794422494343785,20.859046465076663,59.86,8.696426170425884,0.9886964256440973
-0.0,0.02584301532448279,0.5876263314128054,4.7390723072171134e-05,8.186071655253023,8.2,0.0,1316452677.2591553,140274495.86371088,0.00018690228884545726,1.4364533599547023e-06,223.41152987540062,565745.3168969908,0.0,994.812150483023,485194742497.97205,20.98266517519286,0.06890148570221288,21.06348852693302,20.904516984373785,20.979990014274783,59.86,9.100684322335061,0.969722594197753
-0.0,0.025728502927681193,0.6285962562017632,4.65077310534337e-05,8.384463504259202,8.4,0.0,1382115008.8245788,130149607.79982816,0.0001828140157625862,1.4327072761408495e-06,228.4076858877427,580971.4186969618,0.0,994.782908939644,511662614812.4171,21.09818738892504,0.07233959894211242,21.177263425924494,21.01881867335872,21.09848006749162,59.86,9.504561592114708,0.8950159397914851
-0.0,0.025655272182475635,0.6726857480144309,4.5669695717589834e-05,8.584230833472501,8.6,0.0,1449406855.91182,135952722.05469325,0.0001787744166377757,1.4303475164766033e-06,233.56880180894075,595794.8934192982,0.0,994.7643632293585,538105838282.3426,21.171191347230483,0.06383009367811683,21.193590066003985,21.134851568894156,21.18513240679194,59.86,9.934324007138569,0.9318283441498697
-0.0,0.025639456606475604,0.7203854793427535,4.517110579255018e-05,8.784321697010212,8.8,0.0,1492155543.6876469,132351678.78148267,0.0001762492922696349,1.4421240285767617e-06,236.91514303669962,604703.628008815,0.0,994.8559533149269,554318405922.5916,20.808651308645455,0.15819063323770444,20.696413459802994,20.957600181675307,20.77194028445967,59.86,10.397386402629474,0.9222306288035511
-0.0,0.02558981569316357,0.7693003770532995,4.474541137432107e-05,8.984607649908163,9.0,0.0,1529323830.872701,132132433.64838882,0.00017426313850322727,1.4555595857029136e-06,239.6153693020072,612782.1177727687,0.0,994.9575516119365,569228082240.2323,20.400432782627,0.14758852981499737,20.290781660069307,20.575619855926554,20.334896831882297,59.86,10.856970157112707,0.9380340905880004
-0.0,0.025488920115652135,0.8187611599253543,4.4133556912253624e-05,9.185259976623856,9.2,0.0,1584430089.0602458,133525682.36581989,0.0001715444136234602,1.4590751185340033e-06,243.4129180086988,624957.8919929772,0.0,994.9836368099913,592073555902.562,20.294551990068783,0.04654439035466786,20.291316937632068,20.343868646952576,20.24847038562474,59.88,11.302876463215874,0.9525344809265824
-0.0,0.025402546077093847,0.8704602107992337,4.341665023420948e-05,9.385269462078137,9.4,0.0,1653288578.4375818,142501461.06714883,0.0001682193233896957,1.4569949903880508e-06,248.22431482170268,639478.0515498201,0.0,994.9682270253186,619905424959.6697,20.357154923337045,0.04576027164133907,20.40095977740831,20.343115632835463,20.327389359766325,59.85,11.760306834955037,1.0136529874069709
-0.0,0.025331152947237073,0.924883049880564,4.267578401153308e-05,9.585912825651352,9.6,0.0,1729314755.4149902,157958801.05238461,0.00016471165704273758,1.4530178560374159e-06,253.51044994552637,654936.929146505,0.0,994.9385641238707,650239142606.5339,20.47722413825351,0.06501458984293801,20.54799969254768,20.42439591192171,20.459276810288614,59.87,12.233673129591276,1.117446279785701
-0.0,0.025235547871356026,0.9799128711382464,4.195655837067864e-05,9.784705577822283,9.8,0.0,1807220090.2129414,167199193.16495326,0.00016142728651582475,1.448090249820407e-06,258.6683279476687,670793.8746238762,0.0,994.9014452723983,682106718681.0248,20.626674573704506,0.07637159387173009,20.707365525204576,20.550466947063494,20.622191248847326,59.87,12.69775737408657,1.174762719521029
-0.0,0.025143898143404227,1.0373496444738637,4.124257919115927e-05,9.984363226452956,10.0,0.0,1889564733.9669528,173342430.29429218,0.00015815817562116988,1.4424567825158391e-06,264.01497187343926,687154.6935513207,0.0,994.8585065021261,715785976352.1902,20.798472150194094,0.0864809166303981,20.88963094025137,20.705142463208833,20.800643047122406,59.87,13.172656617320708,1.2084160285341659
-0.0,0.02513706421761969,1.1008190827902566,4.051346125903725e-05,10.184897260274004,10.2,0.0,1981434280.7160888,224881148.72442636,0.00015446913868133984,1.4367166164788983e-06,270.32018592605675,703756.6199018547,0.0,994.8141962724397,750791136871.2028,20.974563868879613,0.08669361352135702,21.056355527327955,20.880012392473187,20.98732368683726,59.85,13.70277523034032,1.5551844764681706
-0.0,0.025259970726797767,1.1720275779256055,3.980662551854351e-05,10.383039752797695,10.4,0.0,2080030626.9289405,420428549.25417644,0.00015039643857019114,1.4330227810752644e-06,277.6403928520537,719297.2129592231,0.0,994.7853811608021,784315695481.5972,21.088440302939446,0.05917149206163175,21.12683784806321,21.040816619484417,21.097666441272395,59.86,14.310340624762855,2.892493826922724
