a,cf,epsilon,eta,fic,ficfn,foc,g,grei,gstd,lambda,mu,nuw,rei,reo,rho,ta,tempavg,tempavgstd,tempbot,tempmid,temptop,time,torque,torquestd
-0.0,0.04951773449273275,0.19888746402761082,0.000327740740299589,4.5930911975949,4.6,0.0,9418437.464858761,0.06372659211999043,2764512.37998572,0.0015963165848507756,1.31899468e-05,26.157797697805044,34569.96819811084,0.0,947.2103831183051,1811640875.5947843,20.220779104679476,0.03195736055265627,20.260400673814956,20.215780469068733,20.186156171152973,59.86,5.227042778546149,1.5342485975960627
-0.0,0.04980597731511693,0.22735807155433185,0.000316960168212616,4.793276599298532,4.8,0.0,10317023.099131571,0.06464677711790398,2348924.59081266,0.0015207957976633873,1.31899468e-05,27.456760698795623,36076.66655721253,0.0,947.1850546750074,1972999411.7690024,20.25272348698977,0.03945009607035571,20.29978748383108,20.236262080129343,20.222120897008274,59.86,5.725586570336761,1.303570900507416
-0.0,0.04984389327868854,0.2569178848074455,0.0003074211185785262,4.991338009352124,5.0,0.0,11195767.573696643,0.06522202335191596,2665585.7582038715,0.0014593381058525408,1.31899468e-05,28.61305829041162,37567.378662038784,0.0,947.1435332286321,2139419429.8938777,20.30508895553492,0.03751695294570047,20.345823774517935,20.266133176423963,20.303309915658392,59.87,6.212986615923499,1.479241912651526
-0.0,0.050000123249710295,0.2900508009079259,0.0002982385407049095,5.191870509607205,5.2,0.0,12151411.65497419,0.06594391988836919,2789338.9675788316,0.0013985884396109107,1.31899468e-05,29.855906931272965,39076.68946347373,0.0,947.1033871735391,2314779770.071465,20.35571791304877,0.041113112693639375,20.405050320847288,20.318821409064952,20.343282009230453,59.84,6.7430265454036755,1.5478519892636304
-0.0,0.05005992877273972,0.32538253991400673,0.0002897902180707089,5.3925087689994,5.4,0.0,13124413.408421367,0.0665253722343302,3144432.9036751734,0.0013449426747162558,1.31899468e-05,31.046770299698444,40586.79626260379,0.0,947.0462673816942,2497144613.9629765,20.427749545665186,0.04110955549053682,20.46688004062357,20.38843850039457,20.42793009597603,59.86,7.282522655738073,1.7447944641677613
-0.0,0.050175339978096443,0.36337174855492654,0.00028189962180461247,5.590403206948384,5.6,0.0,14137888.207679586,0.06716110984305612,3537620.006340346,0.0012943490369421945,1.31899468e-05,32.260329398338676,42076.2516494382,0.0,946.9779804791148,2683788197.7074766,20.513858651436628,0.052129361925260145,20.57501186612859,20.464390599766677,20.502173488415806,59.86,7.844317613635566,1.9628260259556587
-0.0,0.05007426008819619,0.4033734818235421,0.00027463472378757794,5.792336562552286,5.8,0.0,15147120.21820619,0.06750317688189424,5347282.398188142,0.0012517469213739177,1.31899468e-05,33.358281594450496,43596.10600918183,0.0,946.907334672519,2881174423.579637,20.602936668581915,0.056217040662620246,20.667956830811722,20.545984413767787,20.59486876116665,59.86,8.403656623775854,2.966684392636027
-0.0,0.0496217140002816,0.44182419893908287,0.0002684540178244534,5.988923513694155,6.0,0.0,16046386.517033901,0.06734113447844965,6832541.755509966,0.0012216993231973017,1.31899468e-05,34.17872589050629,45075.72057740478,0.0,946.8221400726097,3080062342.919805,20.710351824626287,0.05522095304536736,20.765614154112207,20.65536100248108,20.710080317286117,59.87,8.901770627269771,3.7903685944638115
-0.0,0.049063153367222175,0.4823921920348749,0.00026262267188938946,6.190196825396833,6.2,0.0,16950102.487670414,0.06702475931872687,6262409.308903441,0.0011954321881312451,1.31899468e-05,34.92973227820872,46590.60710705467,0.0,946.7298512921703,3290568153.387104,20.826702187630108,0.06756148058891602,20.89584929075689,20.761801166783965,20.82245610534846,59.84,9.402192644419289,3.473747653345731
-0.0,0.048560399802193774,0.5252392838897388,0.00025709461653359564,6.390200768331281,6.4,0.0,17878011.585997522,0.0667611898402766,5064803.828631505,0.0011700060418754345,1.31899468e-05,35.6888125306136,48095.939714071304,0.0,946.6158410299017,3506638365.4848943,20.97042405058821,0.07086298629517215,21.04334796599079,20.897542454806313,20.97038173096977,59.86,9.91570797614717,2.809099629430618
