alpha,fic,icangle,tempavg,tempbot,tempmid,temptop,time,torque,torquenorm
0,17.4997752157307,17.499675382357793,20.86557050466474,20.810463552559504,20.87871613265706,20.907531828776644,6313.611899844385,36.360112576915604,1.0
5,17.50093241905839,17.50083938140349,21.063739743153025,20.967731631641506,21.13219211052328,21.091295487294673,6311.718036193977,38.38277254121994,1.0556285396538758
10,17.501644927536233,17.501711762968775,20.935140396518367,20.859606916962992,20.95998607473887,20.98582819785488,6331.077729933103,39.12999576113826,1.0761791696426486
20,17.500518925688862,17.50060472529908,20.65051870266315,20.63440292264617,20.664457154957365,20.652696030385254,6312.808096298362,40.00607490335713,1.100273680911436
30,17.49933526994476,17.499348401088874,20.65684924269365,20.60887449623971,20.68316568990155,20.67850754193761,6317.9815884936925,40.5919386442291,1.116386495183742
40,17.498362666666644,17.498313333323694,20.69261918386107,20.622406746842973,20.72231649790016,20.733134306841116,6313.157695438598,41.53636169757789,1.1423606461534608
50,17.499242007228297,17.49939328295605,20.690753951358626,20.58900524295252,20.742429548360487,20.7408270627633,6324.048534890183,42.849863739943636,1.1784854529616682
60,17.499344248647134,17.499472426484697,20.72600474912053,20.610617422662923,20.792892932775075,20.774503891924756,6322.943801859301,43.54464734788743,1.1975938538631796
65,17.499432587412645,17.499304933930055,20.737351204096328,20.650798771839966,20.75715928667662,20.804095553771944,6314.5791622377565,43.53972276040138,1.1974584145826872
70,17.498653075521965,17.498537745359183,20.8985212157178,20.780402409890005,20.974895334281833,20.940265902980823,6313.5280734202015,30.073432883017418,0.8270995536496362
80,17.501121879382872,17.501386473384876,20.77396279460853,20.629006581615904,20.897339531434035,20.79554227077424,6345.364412342214,30.40919808290948,0.8363339915018785
90,17.499480657503163,17.499330727572513,20.76496128287282,20.668210542330574,20.823808935310772,20.802864370976778,6314.13989939068,30.947743423837185,0.8511454236664098
100,17.49882801293771,17.49876892610421,40.69121500824282,21.084852553644872,79.74953543252745,21.239257038557692,6310.109590774848,30.45826817140805,0.83768354971336
75,17.49880099431822,17.49879217966148,20.65291147629137,20.58360073553334,20.69983305954556,20.67530063379589,6312.428303977282,30.375798916166254,0.8354154254035867
